,Release date,Availability - Officially announced,Availability - Prices (MSRP),Availability - Expected nnouncement,Design - Dimensions,Design - Materials,Design - Resistance,Design - Biometrics,Design - Keys,Design - Colors,Design - Weight,Design - Features,Design - Phone functionality,Design - Tablet dock,Design - Dock Features,Display - Size,Display - Type,Display - Resolution,Display - Protection,Display - Features,Display - Colors,Display - Additional display,Hardware - System chip,Hardware - Processor,Hardware - GPU,Hardware - Memory,Hardware - Storage expansion,Hardware - OS,Battery - Type,Battery - Charging,Battery - Charge speed,Camera - Rear,Camera - Main camera,Camera - Second camera,Camera - Video recording,Camera - Front,Camera - Third camera,Camera - Flash,Camera - Fourth camera,Connectivity & Features - Bluetooth,Connectivity & Features - WLAN,Connectivity & Features - USB,Connectivity & Features - Sensors,Connectivity & Features - Location,Connectivity & Features - Other,Connectivity & Features - Hearing aid compatible,Connectivity & Features - HDMI,Multimedia - Headphones,Multimedia - Speakers,Multimedia - Screen mirroring,Multimedia - Additional microphone(s),Multimedia - Features,Multimedia - Radio,Multimedia - Broadcast Mobile TV,Cellular - 5G Bands,Cellular - LTE Bands,Cellular - TDD Bands,Cellular - Data Speed,Cellular - SIM type,Cellular - Dual SIM,Cellular - 3G Bands,Cellular - HD Voice,Cellular - VoLTE,Regulatory Approval - FCC approval,Regulatory Approval - Measured SAR,Phone Features - Notifications,Phone Features - Other features
Sony Xperia M4 Aqua,"Jun 11, 2015","Mar 02, 2015",€299,,5.73 x 2.86 x 0.29 inches 145.5 x 72.6 x 7.3 mm,,"Water, Dust; IP68",,"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Orange, White",4.80 oz / 136.0 g,,,,,"5.0-inch, 65.19% screen-to-body",IPS LCD,"1280x720px, 294 PPI",,,16 777 216,,Snapdragon 615 8939,Octa-core1500 MHzARM Cortex-A53,Adreno 405,2GB/16GB2GB/8GB,microSDXC up to 128 GB,"Android (6.0 Marshmallow, 5.0 Lollipop)",2400 mAh,,,Single camera,13 MP (Autofocus)Aperture size: F2.0,,"1080pEIS, Video calling",5 MPVideo capture: 720p,,LED,,4.1,"a,b,g,n,dual-bandHotspot, Wi-Fi Direct802.11 a, b, g, n","microUSB, USB 2.0","Accelerometer, Compass, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass","NFC, ANT+, Tethering, Computer sync, OTA sync",M3/T2,,3.5mm jack,"Earpiece, Loudspeaker","DLNA,Wireless screen share",,"Album art cover, Background playback","FM, RDS",,,"12, 13, 17, 28, 5, 4, 2, 7",,"LTE Cat 4 (150/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",,,"5, 8, 4, 2, 1",Yes,,"Date approved: Mar 31, 2015FCC ID value: PY7-PM0785",Head: 1.19 W/kgBody: 0.82 W/kgSimultaneous Transmission: 1.50 W/kgWireless Router: 1.19 W/kg,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording, TTY/TDD"
Sony Xperia C4,"Jun 01, 2015","May 06, 2015",,,5.92 x 3.05 x 0.31 inches 150.3 x 77.4 x 7.9 mm,Back: GlassFrame: Aluminum,,,"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Green, White",5.19 oz / 147.0 g,,,,,"5.5-inch, 71.59% screen-to-body",IPS LCD,"1920x1080px, 401 PPI",,,16 777 216,,MediaTek MTK6752,Octa-core1700 MHzARM Cortex-A53,Mali-T760 MP2,2GB (LPDDR3)/16GB,microSDXC up to 128 GB,"Android (6.0 Marshmallow, 5.1 Lollipop, 5.0 Lollipop)",2600 mAh,,,Single camera,13 MP (Autofocus),,"1080pHDR, Video calling, Video sharing",5 MP (Flash)Video capture: 1080p,,LED,,4.1,"a,b,g,nHotspot, Wi-Fi Direct802.11 a, b, g, n","microUSB, USB 2.0","Accelerometer, Compass, Hall (for flip covers), Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass","NFC, Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Loudspeaker","DLNA,Wireless screen share",,"Album art cover, Background playback, Custom equalizer","FM, RDS",,,"1, 3, 5, 7, 8, 20",,"LTE Cat 4 (150/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",Nano SIM,,"5, 8, 2, 1",,,,,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording"
Sony Xperia Z4 Tablet,"Jun 01, 2015","Mar 02, 2015",,,10.00 x 6.57 x 0.24 inches 254 x 167 x 6.1 mm,Back: Stainless steel,"Water, Dust; IP68",,,"Black, White",13.86 oz / 393.0 g,,Yes,,,"10.1-inch, 66.35% screen-to-body",TFT,"1600x2560px, 299 PPI",,"Oleophobic coating, Scratch-resistant glass, Ambient light sensor",16 777 216,,Snapdragon 810 MSM8994,Octa-core2000 MHzARM Cortex-A57 and ARM Cortex-A53,Adreno 430,3GB/32GB,microSDXC up to 128 GB,"Android (7.1 Nougat, 7.0 Nougat, 6.0 Marshmallow, 5.0 Lollipop)",6000 mAh,Qualcomm Quick Charge 2.0,,Single camera,8.1 MP (Autofocus),,1080p,5.1 MP,,,,4.1,"a,b,g,n,ac,dual-bandMIMO, Hotspot, Wi-Fi Direct802.11 a, b, g, n, ac","microUSB, USB 2.0","Accelerometer, Gyroscope, Compass, Hall (for flip covers), Ambient light sensor","GPS, A-GPS, Glonass, BeiDou","NFC, ANT+, SyncML, Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Multiple speakers","DLNA,MHL",,"Album art cover, Background playback",FM,,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28",40,"LTE-A Cat 6 (300/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",Nano SIM,,"5, 8, 2, 1",,Yes,,,"Haptic feedback, Music ringtones (MP3, AAC), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording"
Sony Xperia E4,"Mar 01, 2015","Feb 10, 2015",,,5.39 x 2.94 x 0.41 inches 137 x 74.6 x 10.5 mm,,,,,"Black, White",5.08 oz / 144.0 g,,,,,"5.0-inch, 67.41% screen-to-body",IPS LCD,"960x540px, 220 PPI",,,16 777 216,,MediaTek MT6582,Quad-core1300 MHzARM Cortex-A7,Mali-400 MP2,1GB/8GB,microSDHC up to 32 GB,Android (4.4.4),"2300 mAh, Li - Ion",,,Single camera,5 MP (Autofocus),,1080p (30 fps)Video calling,2 MP,,LED,,4.1,"b,g,nHotspot, Wi-Fi Direct802.11 b, g, n","microUSB, USB 2.0","Accelerometer, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass","ANT+, Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Loudspeaker","DLNA,Wireless screen share",Noise cancellation,"Album art cover, Background playback, Music recognition, Custom equalizer, Preset equalizer","FM, RDS",,,,,"HSDPA+ (4G) 21.1 Mbit/s, HSUPA 5.76 Mbit/s",Micro SIM,,"5, 2, 1",,,"Date approved: Dec 31, 2014FCC ID value: PY7-PM0631",Head: 0.34 W/kgBody: 0.50 W/kgSimultaneous Transmission: 1.44 W/kgWireless Router: 0.77 W/kg,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording, TTY/TDD"
Sony Xperia E4g,No information,"Feb 24, 2015",€129,,5.24 x 2.80 x 0.43 inches 133 x 71 x 10.8 mm,Back: Plastic,,,"Right: Volume control, Lock/Unlock key","Black, White",4.76 oz / 135.0 g,,,,,"4.7-inch, 64.33% screen-to-body",IPS LCD,"960x540px, 234 PPI",,,16 777 216,,MediaTek MT6732,Quad-core1500 MHzARM Cortex-A53,Mali-T760 MP2,1GB/8GB,microSDHC up to 32 GB,Android (4.4.4),"2300 mAh, Li - Ion",,,Single camera,5 MP (Autofocus)Aperture size: F2.8,,"1080p (30 fps)Continuous autofocus, Picture-taking during video recording, Video calling",2 MPVideo capture: 720p (30 fps),,LED,,4.1,"a,b,g,n,dual-bandHotspot, Wi-Fi Direct802.11 a, b, g, n","microUSB, USB 2.0","Accelerometer, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass","NFC, ANT+, Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Loudspeaker","DLNA,Wireless screen share",Noise cancellation,"Album art cover, Background playback, Music recognition, Custom equalizer, Preset equalizer","FM, Stereo, RDS",,,"1, 2, 3, 5, 7, 8, 20",,"LTE Cat 4 (150/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",Micro SIM,,"5, 8, 2, 1",,,"Date approved: Dec 31, 2014FCC ID value: PY7-PM0631",Head: 0.34 W/kgBody: 0.50 W/kgSimultaneous Transmission: 1.44 W/kgWireless Router: 0.77 W/kg,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording, TTY/TDD"
Sony Xperia Z3v,No information,"Sep 03, 2014",,,5.85 x 2.89 x 0.35 inches 148.6 x 73.4 x 8.9 mm,,"Water, Dust; IP68",,"Right: Volume control, Camera shutter, Lock/Unlock key","Black, White",6.02 oz / 171.0 g,,,,,"5.2-inch, 68.34% screen-to-body",IPS LCD,"1920x1080px, 424 PPI",,,16 777 216,,Snapdragon 801 8974-AC,Quad-core2500 MHzKrait 400,Adreno 330,3GB (LPDDR3)/32GB,microSDXC up to 128 GB,Android (4.4.4),3200 mAh,,,Single camera,"20.7 MP (Autofocus, CMOS image sensor)Aperture size: F2.0Focal length: 25 mmSensor size: 1/2.3""",,"4K UHDHDR, EIS, Video sharing",2.2 MPVideo capture: 1080p,,LED,,4.0,"a,b,g,n,ac,dual-bandHotspot, Wi-Fi Direct802.11 a, b, g, n, ac","microUSB, USB 2.0","Accelerometer, Gyroscope, Compass, Gesture, Barometer, Step detector, Step counter, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass","NFC, ANT+, Tethering, Computer sync, OTA sync",M3/T3,,3.5mm jack,"Earpiece, Multiple speakers","DLNA,Wireless screen share,MHL",,"Album art cover, Background playback","FM, RDS",,,"1, 3, 5, 7, 8, 28",40,"LTE Cat 4 (150/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",Nano SIM,,"5, 8, 2, 1",,,"Date approved: Oct 24, 2014FCC ID value: PY7PM-0742",Head: 0.65 W/kgBody: 0.67 W/kgSimultaneous Transmission: 1.48 W/kgWireless Router: 1.19 W/kg,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording, TTY/TDD"
Sony Xperia Z3 Compact,No information,"Sep 03, 2014",,,5.00 x 2.56 x 0.34 inches 127 x 64.9 x 8.6 mm,Back: GlassFrame: Plastic,"Water, Dust; IP68",,"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Orange, Green, White",4.55 oz / 129.0 g,,,,,"4.6-inch, 70.64% screen-to-body",IPS LCD,"1280x720px, 319 PPI",,,,,Snapdragon 801 8974-AC,Quad-core2500 MHzKrait 400,Adreno 330,2GB (LPDDR3)/16GB,microSDXC up to 128 GB,"Android (6.0 Marshmallow, 5.1 Lollipop, 5.0 Lollipop, 4.4)",2600 mAh,Qualcomm Quick Charge 2.0,,Single camera,"20.7 MP (Autofocus, CMOS image sensor)Aperture size: F2.0Focal length: 25 mmSensor size: 1/2.3""Pixel size: 1.12 μm",,"4K UHD (30 fps), 1080p (60 fps)HDR, Continuous autofocus, Picture-taking during video recording, Video light, EIS, Video calling",2.2 MP (HDR)Video capture: 1080p,,LED,,4.0,"a,b,g,n,ac,dual-bandWi-Fi Direct, Hotspot802.11 a, b, g, n, ac","microUSB, USB 2.0","Accelerometer, Gyroscope, Compass, Barometer, Step detector, Step counter, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass","NFC, ANT+, Tethering, Computer sync, OTA sync",M3/T4,,3.5mm jack,"Earpiece, Multiple speakers","DLNA,Wireless screen share,MHL","Noise cancellation, Video recording","Album art cover, Background playback, Music recognition","FM, RDS",,,"1, 3, 5, 7, 8, 28",,"LTE Cat 4 (150/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",Nano SIM,,"5, 8, 2, 1",,Yes,"Date approved: Aug 11, 2014FCC ID value: PY7PM-0810",Head: 0.95 W/kgBody: 1.00 W/kgSimultaneous Transmission: 1.45 W/kgWireless Router: 1.10 W/kg,,
Sony Xperia E3,No information,"Sep 03, 2014",,,5.40 x 2.73 x 0.33 inches 137.1 x 69.4 x 8.5 mm,,,,,"Black, Brown, Green, White",5.07 oz / 143.8 g,,,,,"4.5-inch, 58.67% screen-to-body",IPS LCD,"854x480px, 218 PPI",,,16 777 216,,Snapdragon 400 8226,Quad-core1200 MHzARM Cortex-A7,Adreno 305,1GB/4GB,microSDHC up to 32 GB,Android (4.4),2330 mAh,,,Single camera,5 MP (Autofocus),,1080pVideo sharing,0.3 MP VGA,,LED,,4.0,"b,g,nHotspot, Wi-Fi Direct802.11 b, g, n","microUSB, USB 2.0","Accelerometer, Compass, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass","Tethering, Computer sync, OTA sync, ANT+",,,3.5mm jack,"Earpiece, Loudspeaker",,,"Album art cover, Background playback, Custom equalizer","FM, RDS",,,"20, 5, 8, 3, 1, 7",,"LTE Cat 4 (150/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",,,"5, 8, 1",Yes,,,,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording"
Sony Xperia Z3 Tablet Compact,No information,"Sep 03, 2014",,,8.40 x 4.87 x 0.25 inches 213.4 x 123.6 x 6.4 mm,,"Water, Dust; IP68",,,"Black, White",9.52 oz / 270.0 g,Notification light,Yes,,,"8.0-inch, 70.31% screen-to-body",IPS LCD,"1920x1200px, 283 PPI",,"Oleophobic coating, Scratch-resistant glass, Ambient light sensor",16 777 216,,Snapdragon 801,Quad-core2500 MHz,Adreno 330,3GB (LPDDR3)/16GB,microSDXC up to 128 GB,"Android (6.0 Marshmallow, 5.1 Lollipop, 5.0 Lollipop, 4.4)",4500 mAh,Qualcomm Quick Charge 2.0,,Single camera,"8.1 MP (Autofocus, CMOS image sensor)Aperture size: F2.4",,"1080pHDR, EIS, Video sharing",2.2 MPVideo capture: 1080p,,,,4.0,"a,b,g,n,ac,dual-bandWi-Fi Direct, Hotspot802.11 a, b, g, n, ac","microUSB, USB 2.0","Accelerometer, Gyroscope, Compass, Gesture, Barometer, Ambient light sensor","GPS, A-GPS, Glonass","NFC, ANT+, Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Multiple speakers","DLNA,Wireless screen share,MHL",,"Album art cover, Background playback, Custom equalizer","FM, RDS",,,"1, 3, 5, 7, 8, 28",40,"LTE Cat 4 (150/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",Nano SIM,,"5, 8, 2, 1",,,,,"Music ringtones (MP3, AAC), Polyphonic ringtones, Vibration, Flight mode, Silent mode","Voice commands, Voice recording"
Sony Xperia C3,"Aug 20, 2014","Jul 08, 2014",,,6.15 x 3.10 x 0.30 inches 156.2 x 78.7 x 7.6 mm,,,,"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Green, White",5.28 oz / 149.7 g,,,,,"5.5-inch, 67.80% screen-to-body",IPS LCD,"1280x720px, 267 PPI",,,16 777 216,,Snapdragon 400 8926,Quad-core1200 MHzARM Cortex-A7,Adreno 305,1GB/8GB,microSDHC up to 32 GB,"Android (5.0 Lollipop, 4.4)",2500 mAh,,,Single camera,8 MP (Autofocus),,1080pHDR,5 MPVideo capture: 720p,,LED,,4.0,"b,g,nHotspot, Wi-Fi Direct802.11 b, g, n","microUSB, USB 2.0","Accelerometer, Compass, Gesture, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass","NFC, Tethering, Computer sync, OTA sync, ANT+, SyncML",,,3.5mm jack,"Earpiece, Loudspeaker","DLNA,Wireless screen share",,"Album art cover, Background playback","FM, RDS",,,"8, 3, 1, 7",,"LTE Cat 4 (150/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",Micro SIM,,"5, 8, 2, 1",,,"Date approved: Jul 12, 2014FCC ID value: PY7PM-0821",Head: 0.33 W/kgBody: 0.34 W/kgSimultaneous Transmission: 1.19 W/kgWireless Router: 0.84 W/kg,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording"
Sony Xperia M2 Aqua,No information,"Aug 19, 2014",,,5.51 x 2.83 x 0.34 inches 140 x 72 x 8.6 mm,,"Water, Dust; IP68",,"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Brown, White",5.26 oz / 149.0 g,,,,,"4.8-inch, 62.87% screen-to-body",IPS LCD,"960x540px, 230 PPI",Corning Gorilla Glass 3,,16 777 216,,Snapdragon 400 MSM8926,Quad-core1200 MHzARM Cortex-A7,Adreno 305,1GB/8GB,microSDHC up to 32 GB,"Android (5.1 Lollipop, 4.4)","2300 mAh, Li - Ion",,,Single camera,"8 MP (Autofocus, BSI sensor)",,"1080pEIS, Video sharing",0.3 MP VGA,,LED,,4.0,"a,b,g,n,dual-bandHotspot, Wi-Fi Direct802.11 a, b, g, n","microUSB, USB 2.0","Accelerometer, Compass, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass","NFC, ANT+, SyncML, Tethering, Computer sync, OTA sync",M3/T3,,3.5mm jack,"Earpiece, Loudspeaker","DLNA,Wireless screen share,MHL",,"Album art cover, Background playback, Music recognition, Custom equalizer","FM, RDS",,,"1, 3, 5, 7, 8, 20",,"LTE Cat 4 (150/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",,,"5, 8, 1",Yes,,"Date approved: Mar 31, 2014FCC ID value: PY7PM-0723",Head: 0.65 W/kgBody: 1.29 W/kgSimultaneous Transmission: 1.48 W/kgWireless Router: 1.36 W/kg,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording, TTY/TDD"
Sony Xperia Z3,No information,"Sep 03, 2014",,,5.75 x 2.83 x 0.29 inches 146 x 72 x 7.3 mm,Back: GlassFrame: Metal,"Water, Dust; IP68",,"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Brown, Green, White",5.36 oz / 152.0 g,,,,,"5.2-inch, 71.00% screen-to-body",IPS LCD,"1920x1080px, 424 PPI",,,,,Snapdragon 801 8974-AC,Quad-core2500 MHzKrait 400,Adreno 330,3GB (LPDDR3)/16GB3GB/32GB,microSDXC up to 128 GB,"Android (6.0 Marshmallow, 5.1 Lollipop, 5.0 Lollipop, 4.4.4)","3100 mAh, Li - Polymer",,,Single camera,"20.7 MP (Autofocus, CMOS image sensor)Aperture size: F2.0Focal length: 25 mmSensor size: 1/2.3""Pixel size: 1.12 μm",,"4K UHD (30 fps), 1080p (60 fps)HDR, Continuous autofocus, Picture-taking during video recording, EIS, Video calling",2.2 MP (HDR)Video capture: 1080p,,LED,,4.0,"a,b,g,n,ac,dual-bandWi-Fi Direct, Hotspot802.11 a, b, g, n, ac","microUSB, USB 2.0","Accelerometer, Gyroscope, Compass, Gesture, Barometer, Step detector, Step counter, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass","NFC, ANT+, Tethering, Computer sync, OTA sync",M3/T3,,3.5mm jack,"Earpiece, Multiple speakers","DLNA,Wireless screen share,MHL","Noise cancellation, Video recording","Album art cover, Background playback","FM, Stereo, RDS",,,"1, 3, 5, 7, 8, 28",40,"LTE Cat 4 (150/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",Nano SIM,,"5, 8, 2, 1",,Yes,"Date approved: Jun 26, 2014FCC ID value: PY7PM-0801",Head: 0.54 W/kgBody: 0.99 W/kgSimultaneous Transmission: 1.53 W/kgWireless Router: 1.49 W/kg,,
Sony Xperia Z2a,No information,,,,5.39 x 2.83 x 0.43 inches 137 x 72 x 11 mm,,"Water, Dust; IP58",,,"Black, Blue, White",5.75 oz / 163.0 g,,,,,"5.0-inch, 70.03% screen-to-body",IPS LCD,"1920x1080px, 441 PPI",,,16 777 216,,Snapdragon 801 8974-AB,Quad-core2300 MHzKrait 400,Adreno 330,3GB/16GB,microSDXC up to 128 GB,Android (4.4.2),"3000 mAh, Li - Ion",,,Single camera,"20.7 MP (Autofocus, CMOS image sensor)Sensor size: 1/2.3""",,"4K UHD (30 fps), 1080p (60 fps), 720p (120 fps)HDR, EIS, Video calling, Video sharing",0.3 MP VGA,,LED,,4.0,"a,b,g,n,ac,dual-bandHotspot, Wi-Fi Direct802.11 a, b, g, n, ac","microUSB, USB 2.0","Accelerometer, Gyroscope, Compass, Barometer, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass","NFC, ANT+, Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Multiple speakers","DLNA,Wireless screen share,MHL,TV-out",Noise cancellation,"Album art cover, Background playback, Music recognition","FM, RDS",,,"1, 3, 7, 8",,"LTE Cat 4 (150/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",Micro SIM,,"5, 8, 2, 1",,,,,"Haptic feedback, Music ringtones (MP3, WAV), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording"
Sony Xperia T3,No information,"Jun 03, 2014",,,5.93 x 3.03 x 0.28 inches 150.7 x 77 x 7 mm,,,,"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Purple, White",5.22 oz / 148.0 g,,,,,"5.3-inch, 66.80% screen-to-body",IPS LCD,"1280x720px, 277 PPI",,,16 777 216,,Snapdragon 400 8228,Quad-core1400 MHzARM Cortex-A7,Adreno 305,1GB/8GB,microSDHC up to 32 GB,"Android (4.4.4, 4.4)",2500 mAh,,,Single camera,8 MP (Autofocus),,"1080pEIS, Video sharing",1.1 MPVideo capture: 720p,,LED,,4.0,"a,b,g,n,dual-bandHotspot, Wi-Fi Direct802.11 a, b, g, n","microUSB, USB 2.0","Accelerometer, Gyroscope, Compass, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass","NFC, Tethering, Computer sync, OTA sync, ANT+",,,3.5mm jack,"Earpiece, Multiple speakers","DLNA,Wireless screen share",,"Album art cover, Background playback","FM, RDS",,,"20, 8, 3, 1, 7",,"LTE Cat 4 (150/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",,,"8, 1",,,,,"Haptic feedback, Music ringtones (MP3, AAC), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording"
Sony Xperia M2,"May 01, 2014","Feb 24, 2014",,,5.50 x 2.80 x 0.34 inches 139.6 x 71.1 x 8.6 mm,,,,"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Purple, White",5.22 oz / 148.0 g,,,,,"4.8-inch, 63.93% screen-to-body",TFT,"960x540px, 229 PPI",,,16 777 216,,Snapdragon 400 MSM8926,Quad-core1200 MHzARM Cortex-A7,Adreno 305,1GB/8GB,microSDHC up to 32 GB,"Android (5.1 Lollipop, 5.0 Lollipop, 4.4.4, 4.4.2, 4.4, 4.3)","2300 mAh, Li - Ion",,,Single camera,"8 MP (Autofocus, BSI sensor)",,1080pVideo sharing,Yes,,LED,,4.0,"a,b,g,n,dual-bandHotspot, Wi-Fi Direct802.11 a, b, g, n","microUSB, USB 2.0","Accelerometer, Compass, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass","NFC, ANT+, SyncML, Tethering, Computer sync, OTA sync",M3/T3,,3.5mm jack,"Earpiece, Loudspeaker","DLNA,Wireless screen share,MHL",,"Album art cover, Background playback, Music recognition","FM, RDS",,,,,"HSDPA+ (4G) 21.1 Mbit/s, HSUPA 5.76 Mbit/s",,,"5, 2, 1",Yes,,"Date approved: Mar 31, 2014FCC ID value: PY7PM-0723",Head: 0.65 W/kgBody: 1.29 W/kgSimultaneous Transmission: 1.48 W/kgWireless Router: 1.36 W/kg,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording"
Sony Xperia Z2 Tablet,"Mar 29, 2014","Feb 24, 2014",$500,,10.47 x 6.77 x 0.25 inches 266 x 172 x 6.4 mm,,"Water, Dust; IP58",,,"Black, White",15.49 oz / 439.0 g,"Notification light, Stylus",,,,"10.1-inch, 64.68% screen-to-body",IPS LCD,"1200x1920px, 224 PPI",,"Oleophobic coating, Scratch-resistant glass, Ambient light sensor",16 777 216,,Snapdragon 801 8074,Quad-core2300 MHzKrait 400,Adreno 330,3GB (LPDDR3)/16GB,microSDXC up to 64 GB,"Android (6.0 Marshmallow, 5.1 Lollipop, 5.0 Lollipop, 4.4.4, 4.4)",6000 mAh,,,Single camera,8.1 MP (Autofocus),,1080pHDR,2.2 MPVideo capture: 1080p,,,,4.0,"a,b,g,n,ac,dual-bandWi-Fi Direct, Hotspot802.11 a, b, g, n, ac","microUSB, USB 2.0","Accelerometer, Gyroscope, Compass, Ambient light sensor","GPS, A-GPS, Glonass","NFC, ANT+, Tethering, Computer sync, OTA sync",,,3.5mm jack,Multiple speakers,"DLNA,Wireless screen share,MHL,MirrorLink",,"Album art cover, Background playback","FM, RDS",,,"1, 2, 3, 4, 5, 7, 8, 17, 20",,"LTE Cat 4 (150/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",Micro SIM,,"5, 8, 4, 2, 1",,Yes,,,"Flight mode, Silent mode, Speakerphone","Voice commands, Voice recording"
